"","X","Doses","dose1","dose2","dose3","E40","c0.1","c11.99","c12.01","c23.99","c24.1","c35.99","c36.1","c47.99","c48.1","c59.99","c60.1","c71.99","c72.1","flagged","B=b1d1+b2d2+b3d3"
"208",208,"4.4,4,3.2",4.4,4,3.2,0.8895,12.3436,4.7449,4.7173,2.1218,13.3126,4.1811,4.1516,1.6262,10.5717,2.8679,2.8454,1.0269,1.0192,1,1.15366168143439
"209",209,"4.9,4,3.6",4.9,4,3.6,0.9825,13.7463,5.2841,5.2534,2.363,13.5522,4.2828,4.2527,1.6685,11.7333,3.1659,3.141,1.1318,1.1232,1,1.27878312203193
"210",210,"4,3.4,0",4,3.4,0,0.6206,11.2215,4.3135,4.2885,1.9289,11.4403,3.6068,3.5814,1.4043,1.3943,0.5481,0.5444,0.2313,0.23,0,1.03788101535358
"211",211,"5.2,4.1,4",5.2,4.1,4,0.996,14.5879,5.6076,5.575,2.5076,13.9761,4.426,4.3949,1.7252,12.9092,3.4681,3.4408,1.2372,1.2279,1,1.35561804051809
"212",212,"4.6,4.1,0",4.6,4.1,0,0.9525,12.9047,4.9606,4.9317,2.2183,13.6886,4.304,4.2736,1.6745,1.6626,0.6527,0.6482,0.2746,0.273,0,1.19610179893327
"213",213,"5.3,4.1,3.4",5.3,4.1,3.4,0.9973,14.8685,5.7154,5.6822,2.5558,14.024,4.4464,4.4151,1.7337,11.2383,3.0529,3.0289,1.0965,1.0883,1,1.3788321159245
"214",214,"4.8,4.1,3.2",4.8,4.1,3.2,0.9784,13.4658,5.1762,5.1462,2.3147,13.7844,4.3446,4.314,1.6914,10.6364,2.8946,2.8718,1.0392,1.0315,1,1.25424309083081
"215",215,"5.2,4.7,4.1",5.2,4.7,4.1,0.9992,14.5879,5.6076,5.575,2.5076,15.6566,4.9189,4.8842,1.9134,13.376,3.6083,3.5799,1.2881,1.2783,1,1.36390097861734
"216",216,"4.2,4.1,3.6",4.2,4.1,3.6,0.8195,11.7826,4.5292,4.5029,2.0254,13.4969,4.2226,4.1927,1.6407,11.7057,3.1515,3.1266,1.1227,1.1142,1,1.10643999033071
"217",217,"4.6,4.1,3.7",4.6,4.1,3.7,0.9533,12.9047,4.9606,4.9317,2.2183,13.6886,4.304,4.2736,1.6745,12.0192,3.2362,3.2107,1.1542,1.1455,1,1.2059514857545
"218",218,"4.3,4.2,4.1",4.3,4.2,4.1,0.8849,12.0631,4.6371,4.6101,2.0736,13.8249,4.3251,4.2945,1.6805,13.1447,3.5161,3.4883,1.248,1.2385,1,1.13391847273286
"219",219,"5.1,4.1,3.6",5.1,4.1,3.6,0.9938,14.3074,5.4998,5.4678,2.4594,13.9282,4.4057,4.3746,1.7168,11.7813,3.1851,3.16,1.1402,1.1316,1,1.32974188759242
"220",220,"4.4,4.1,3.2",4.4,4.1,3.2,0.9031,12.3436,4.7449,4.7173,2.1218,13.5927,4.2633,4.2332,1.6576,10.6028,2.8796,2.857,1.0315,1.0237,1,1.15499780315894
"221",221,"4.1,4.1,3.4",4.1,4.1,3.4,0.7629,11.502,4.4214,4.3957,1.9772,13.4489,4.2022,4.1725,1.6322,11.1375,3.0081,2.9844,1.0732,1.0651,1,1.08109625290889
