"","X","Doses","E40","c0.1","c11.99","c12.01","c23.99","c24.1","c35.99","c36.1","c47.99","c48.1","c59.99","c60.1","c71.99","c72.1","B=b1d1+b2d2+b3d3"
"22",22,"4.3,3,0,0",0.755,12.063,4.637,4.61,2.074,10.464,3.339,3.316,1.304,1.295,0.512,0.509,0.219,0.218,1.12874927886899
"23",23,"4.3,3,3,0",0.755,12.063,4.637,4.61,2.074,10.464,3.339,3.316,1.304,9.692,2.607,2.587,0.932,0.925,1.12874927886899
"24",24,"4.4,0,0,0",0.776,12.344,4.745,4.717,2.122,2.109,0.895,0.889,0.372,0.37,0.164,0.163,0.086,0.085,1.14393686847871
"25",25,"4.4,3,0,0",0.795,12.344,4.745,4.717,2.122,10.512,3.36,3.336,1.313,1.303,0.516,0.513,0.221,0.22,1.15474784406168
"26",26,"4.4,3,3,0",0.795,12.344,4.745,4.717,2.122,10.512,3.36,3.336,1.313,9.701,2.611,2.59,0.934,0.927,1.15474784406168
"27",27,"4.5,0,0,0",0.81,12.624,4.853,4.825,2.17,2.156,0.916,0.91,0.38,0.378,0.168,0.167,0.087,0.087,1.16993543367141
"28",28,"4.5,3,0,0",0.831,12.624,4.853,4.825,2.17,10.56,3.38,3.356,1.321,1.312,0.52,0.516,0.223,0.222,1.18074640925438
"29",29,"4.5,3,3,0",0.831,12.624,4.853,4.825,2.17,10.56,3.38,3.356,1.321,9.709,2.615,2.594,0.936,0.929,1.18074640925438
"30",30,"4.6,0,0,0",0.839,12.905,4.961,4.932,2.218,2.204,0.936,0.93,0.389,0.386,0.172,0.171,0.089,0.089,1.1959339988641
"31",31,"4.6,3,0,0",0.863,12.905,4.961,4.932,2.218,10.607,3.4,3.376,1.33,1.32,0.524,0.52,0.225,0.224,1.20674497444708
"32",32,"4.7,0,0,0",0.865,13.185,5.068,5.039,2.267,2.252,0.956,0.95,0.397,0.395,0.175,0.174,0.091,0.091,1.2219325640568
"33",33,"4.7,3,0,0",0.89,13.185,5.068,5.039,2.267,10.655,3.421,3.397,1.338,1.329,0.527,0.524,0.227,0.226,1.23274353963978
"34",34,"4.7,3,3,0",0.89,13.185,5.068,5.039,2.267,10.655,3.421,3.397,1.338,9.726,2.622,2.602,0.94,0.933,1.23274353963978
"35",35,"4.8,0,0,0",0.887,13.466,5.176,5.146,2.315,2.3,0.977,0.97,0.406,0.403,0.179,0.178,0.093,0.093,1.2479311292495
"36",36,"4.8,3,0,0",0.913,13.466,5.176,5.146,2.315,10.703,3.441,3.417,1.346,1.337,0.531,0.527,0.229,0.228,1.25874210483248
"37",37,"4.9,0,0,0",0.906,13.746,5.284,5.253,2.363,2.348,0.997,0.99,0.414,0.412,0.183,0.182,0.095,0.095,1.2739296944422
"38",38,"4.9,3,0,0",0.932,13.746,5.284,5.253,2.363,10.751,3.461,3.437,1.355,1.345,0.535,0.531,0.231,0.229,1.28474067002517
"39",39,"4.9,3,3,0",0.932,13.746,5.284,5.253,2.363,10.751,3.461,3.437,1.355,9.743,2.63,2.609,0.944,0.937,1.28474067002517
"40",40,"5.0,3,0,0",0.948,14.027,5.392,5.361,2.411,10.799,3.482,3.457,1.363,1.354,0.539,0.535,0.233,0.231,1.31073923521787
"41",41,"5.0,3,3,0",0.948,14.027,5.392,5.361,2.411,10.799,3.482,3.457,1.363,9.751,2.633,2.613,0.946,0.939,1.31073923521787
"42",42,"5.1,0,0,0",0.935,14.307,5.5,5.468,2.459,2.444,1.038,1.031,0.431,0.428,0.19,0.189,0.099,0.099,1.32592682482759
"43",43,"5.1,3,0,0",0.96,14.307,5.5,5.468,2.459,10.847,3.502,3.478,1.372,1.362,0.542,0.539,0.235,0.233,1.33673780041057
"44",44,"5.1,3,3,0",0.96,14.307,5.5,5.468,2.459,10.847,3.502,3.478,1.372,9.759,2.637,2.616,0.948,0.941,1.33673780041057
"45",45,"5.2,0,0,0",0.946,14.588,5.608,5.575,2.508,2.492,1.058,1.051,0.44,0.437,0.194,0.193,0.101,0.101,1.35192539002029
"46",46,"5.2,3,0,0",0.971,14.588,5.608,5.575,2.508,10.895,3.522,3.498,1.38,1.371,0.546,0.542,0.237,0.235,1.36273636560327
"47",47,"5.2,3,3,0",0.971,14.588,5.608,5.575,2.508,10.895,3.522,3.498,1.38,9.768,2.641,2.62,0.95,0.943,1.36273636560327
"48",48,"5.3,3,0,0",0.978,14.868,5.715,5.682,2.556,10.943,3.543,3.518,1.389,1.379,0.55,0.546,0.239,0.237,1.38873493079597
"49",49,"5.4,0,0,0",0.964,15.149,5.823,5.789,2.604,2.588,1.099,1.091,0.456,0.454,0.202,0.2,0.105,0.105,1.40392252040569
"50",50,"5.4,3,0,0",0.984,15.149,5.823,5.789,2.604,10.991,3.563,3.538,1.397,1.387,0.553,0.55,0.24,0.239,1.41473349598866
"51",51,"5.4,3,3,0",0.984,15.149,5.823,5.789,2.604,10.991,3.563,3.538,1.397,9.785,2.648,2.628,0.954,0.947,1.41473349598866
"52",52,"5.5,0,0,0",0.971,15.43,5.931,5.897,2.652,2.636,1.119,1.112,0.465,0.462,0.205,0.204,0.107,0.106,1.42992108559838
"53",53,"5.6,0,0,0",0.976,15.71,6.039,6.004,2.701,2.684,1.139,1.132,0.473,0.47,0.209,0.208,0.109,0.108,1.45591965079108
"54",54,"5.6,3,0,0",0.992,15.71,6.039,6.004,2.701,11.087,3.604,3.579,1.414,1.404,0.561,0.557,0.244,0.243,1.46673062637406
"55",55,"5.6,3,3,0",0.992,15.71,6.039,6.004,2.701,11.087,3.604,3.579,1.414,9.801,2.656,2.635,0.958,0.95,1.46673062637406
"56",56,"5.7,0,0,0",0.98,15.991,6.147,6.111,2.749,2.732,1.16,1.152,0.482,0.479,0.213,0.212,0.111,0.11,1.48191821598378
